id,y,0,1,2,3,4,5,6,7,8,9
0,1,-0.43999205420939774,-0.4120145662408151,-0.4046104156171722,-0.3993611015372855,-0.31302452628275707,-0.2606549444592523,-0.23089447693407175,-0.2794904821915789,-0.3086792759500628,-0.27987136274143315
1,1,-0.7234711155791607,-0.4911794268242204,-0.6641513023089222,-0.6566321808762763,0.11720405340993986,-0.2596118270314055,2.809049414393332,-0.2794904821915789,-0.3086792759500628,-0.27987136274143315
2,-1,-0.49991780260325464,-0.47588692514482933,-0.454462066984424,-0.41965852174745627,-0.23645350715542762,-0.19801574291705332,-0.2517701582682583,-0.24926826566435467,-0.19796391096614546,-0.2544569847222213
3,-1,0.38248076030854505,-0.24520289572578255,-0.2036090888781698,-0.16710816902325748,-0.10200304764397208,-0.14220896052725074,-0.19260180703112598,-0.21463594028766425,-0.23486903262745124,-0.21950466910910094
4,-1,-0.2688994871300265,-0.03866821012322048,-0.02181086409869524,-0.3155128165380913,-0.20906067623866414,-0.18325563131302142,-0.05209241343563952,-0.23422201194264647,-0.23486903262745124,-0.2372524770370066
5,1,0.763519175181696,0.8865671928121113,1.0273828381191057,1.1155319987835208,-0.022982787164084972,-0.07810939458606628,-0.0320196429219986,-0.020072314575920347,-0.013438302659616668,-0.038404588212104296
6,-1,-0.4491322738025755,-0.4098433121719332,-0.380639761527554,-0.07272772139611577,-0.2135724366249546,-0.19483423476212064,-0.20032210338252635,-0.2303307394284116,-0.2615883407102366,-0.19897999327410798
7,1,-0.5536276138782784,-0.5104083027867642,-0.5077855594498949,-0.3840059582884493,-0.18411708667445836,-0.1041873302822357,-0.12466319913880286,-0.2794904821915789,0.8720631864817537,-0.09877128184443651
8,1,-0.0824066786782271,-0.027890042443159378,-0.014584783344028624,0.007081530362263526,-0.18411708667445836,-0.057247046029130735,-0.1864255699500057,-0.2794904821915789,-0.1905828866338843,-0.1832846529297016
9,-1,-0.6779463562549408,-0.6688942292822713,-0.6641513023089222,-0.6566321808762763,-0.26545768106729484,-0.2606549444592523,-0.27906912616680996,-0.2794904821915789,-0.3086792759500628,-0.27987136274143315
10,-1,-0.0923404221589155,-0.24310974432124893,-0.20435661447348016,-0.1688976141299476,-0.20345320261570315,-0.1482068857373697,-0.20495428119336656,-0.2139873948686251,-0.20534493529840664,-0.22131566991807092
11,-1,-0.6665431240936772,-0.65677269577542,-0.6487688867254249,-0.6434073294211189,-0.26300843971473714,-0.2201819882587973,-0.23114152641731656,-0.21943517638855395,-0.25140252713171624,-0.23302680848274337
12,1,-0.24862054333808864,-0.20526119317807787,-0.17708023608460066,-0.17828794035648338,-0.1970078306352882,-0.2606549444592523,-0.20495428119336656,-0.21463594028766425,-0.2314737614346111,-0.22529987169780483
13,1,-0.5694393120812676,-0.45834506673220815,-0.5522882498907038,-0.5407272649658049,-0.16458760957380109,-0.15138839389230238,-0.24818794076120854,-0.21463594028766425,-0.271774154288757,-0.24968801592526704
14,-1,-0.3045933671811982,-0.24226623554628765,-0.5178024024270534,-0.5483281460856505,-0.18411708667445836,-0.13026526597840513,-0.09378201373320144,-0.2679463737326821,-0.23486903262745124,-0.27987136274143315
15,1,0.25260735071930834,0.3887876718548548,0.5316238633092886,0.5989106753149088,0.21536706867165933,-0.2606549444592523,0.059821002474260025,0.07260482580477366,-0.08724854598222818,-0.12165025873109042
16,-1,0.5525152955379021,0.5896364834928629,0.2772658207450237,0.4544598493691427,-0.11631177344049323,-0.09709413177287762,0.2178709093801281,-0.13032503581257524,0.4014490750567827,-0.27987136274143315
17,1,-0.1805244378802336,-0.5966492647601226,-0.6469582136167843,-0.6477701670145728,-0.10754606754712892,1.504821302171418,0.006581838835003174,-0.21236603132102724,-0.3086792759500628,-0.27987136274143315
18,1,-0.4049594440644848,-0.38599075847997194,-0.34663565278088143,-0.366264888230693,-0.17767171469404341,-0.1719899630922762,-0.06290082832760002,-0.14978139838374963,-0.23486903262745124,-0.21950466910910094
19,-1,-0.5856477722280121,-0.6150658730134444,-0.5618731891905718,-0.6566321808762763,-0.31302452628275707,0.06693608375602808,-0.06623599635140498,0.11981893231082352,-0.3086792759500628,0.588201691691504
20,-1,-0.6750661584410134,-0.6605684852627458,-0.64358604259794,-0.6403226669038721,-0.31302452628275707,-0.25043239366635384,-0.24614978252443884,-0.19920055931453257,-0.23804287309032354,-0.20821609739985483
21,1,-0.6722153504006975,-0.6567102136439413,-0.6641513023089222,-0.6566321808762763,-0.31302452628275707,-0.24031415461624012,-0.23089447693407175,-0.2794904821915789,-0.3086792759500628,-0.27987136274143315
22,-1,-0.390073523730258,-0.3688394133890921,-0.3409544582565229,-0.043517160321193266,-0.20667588860591063,-0.2189302473453812,-0.2667166520045694,-0.23577852094834043,-0.2617359611968818,-0.2400293449440939
23,1,-0.4988744656400462,-0.46145355277326927,-0.4306741413736594,-0.4107453808827045,-0.23568006251777782,-0.19775496356009162,-0.19877804411224628,-0.21463594028766425,-0.26439312995649583,-0.2478770151162971
24,1,0.3022760681227503,0.40120599548622954,0.49512800257824824,0.5166302850758623,-0.119663366870309,-0.1041873302822357,-0.06290082832760002,-0.08492685647983499,-0.2865362029532793,0.02799877478346114
25,1,0.6546888434982961,0.7664452950444739,0.894888079270322,0.9748986557320269,-0.003646671222840168,-0.13026526597840513,-0.03819588000311889,-0.05898503971826913,-0.05772444865318358,-0.07462460439150363
26,-1,-0.4330119829766655,-0.3816482503422082,-0.3668354555341564,-0.3419966041171051,-0.03213521537627418,0.6119127839345767,-0.06938587726277631,-0.1563965616579489,-0.23486903262745124,0.0022825632960876176
27,-1,-0.6341262038001881,-0.6418394663520309,-0.6004288982286896,-0.6146909960423298,0.14433906944748673,-0.2606549444592523,-0.17209669992180665,-0.030708459448162344,-0.1270322671331158,-0.05627312952727463
28,1,3.3386511390216866,3.662210919486628,4.068765475198753,4.231739876911091,0.46042011136703515,-0.2606549444592523,0.3385545819452184,0.5104378381981014,0.42942315727605246,0.3731151622795044
29,1,1.018842833431638,1.083057875779486,1.2410422649386965,1.3517217105322672,-0.31302452628275707,0.365215512248814,-0.27906912616680996,0.10315131504151746,0.06037194066299485,-0.008221241395938187
30,1,-0.527691138666126,-0.5140635074782631,-0.47404723758155487,-0.4695925613912853,-0.31302452628275707,-0.2606549444592523,-0.27906912616680996,-0.16923776095492402,-0.3086792759500628,-0.27987136274143315
31,1,-0.37886132509746917,-0.3570146700067642,-0.347599130214837,-0.3252439894516157,-0.31302452628275707,-0.088071166022003,-0.25553766288774166,-0.2794904821915789,-0.27996709129756686,-0.22614500540865748
32,-1,-0.3381711835323417,-0.28378561191382734,-0.22618436185654206,-0.21619009194961503,-0.18411708667445836,-0.15634320167457455,-0.15554438454440428,-0.14978139838374963,-0.16105878930483972,-0.15913797547676872
33,1,0.28215876808567575,0.16802268080803814,0.1546051763945449,0.09101502703320481,-0.05520964706615965,-0.052031458889896846,-0.06290082832760002,-0.14978139838374963,-0.12415366764353396,-0.17121131420323518
34,1,-0.6187406573145657,-0.5837467046097886,-0.5585508532114148,-0.5331434261803086,-0.21634394657653302,-0.182421137370744,-0.1864255699500057,-0.21463594028766425,-0.23486903262745124,-0.21950466910910094
35,1,-0.6405625642211076,-0.6511805450080839,-0.642340166605756,-0.633931791522836,-0.19449413556292638,-0.12797040763714224,-0.20903059766690593,-0.19433646867173898,-0.2103640318443442,-0.13233516350401323
36,-1,2.5813501474872544,1.0799806308041642,1.190310194536968,1.2475589629885528,0.49264697126910983,-0.2606549444592523,-0.007314694597517465,-0.005934024440866955,0.010402405933586854,-0.005202906714321578
